圈号(scan_cnt),包数(packets),点数(points),最小角度(deg),最大角度(deg),最小距离(mm),最大距离(mm),时间类型(time_type),本圈最早时间戳(s),本圈最晚时间戳(s),本圈内时间跨度(ms),圈间时间差(ms),上一圈号(prev_scan_cnt),帧序号范围(seq_start),帧序号范围(seq_end),缺包估计(seq_missing_est),不连续次数(seq_discont),缺口累加估计(seq_missing_sum_est),重复次数(seq_dup),完成时间(completion_time),实时圈间时间差(ms)高精度
16,12,694,-88.640000,294.090000,0,65408,0,1279.163999999873,1279.163999999873,0.000000,67.000000,15,248,3,0,0,0,0,2026-05-06 16:25:02.479,67.000000
17,12,694,-88.640000,294.090000,0,65408,0,1279.230999999912,1279.230999999912,0.000000,67.000000,16,4,15,0,0,0,0,2026-05-06 16:25:02.548,67.000000
18,12,694,-86.080000,294.090000,0,65408,0,1279.296999999788,1279.296999999788,0.000000,66.000000,17,16,27,0,0,0,0,2026-05-06 16:25:02.612,66.000000
19,12,694,-88.640000,294.090000,0,65408,0,1279.363999999827,1279.363999999827,0.000000,67.000000,18,28,39,0,0,0,0,2026-05-06 16:25:02.681,67.000000
20,12,694,-88.640000,294.090000,0,65408,0,1279.430999999866,1279.430999999866,0.000000,67.000000,19,40,51,0,0,0,0,2026-05-06 16:25:02.746,67.000000
21,12,694,-88.640000,294.090000,0,65408,0,1279.496999999974,1279.496999999974,0.000000,66.000000,20,52,63,0,0,0,0,2026-05-06 16:25:02.815,66.000000
22,12,694,-88.640000,294.090000,0,65408,0,1279.563999999780,1279.563999999780,0.000000,67.000000,21,64,75,0,0,0,0,2026-05-06 16:25:02.879,67.000000
23,12,694,-86.080000,294.090000,0,65408,0,1279.630999999819,1279.630999999819,0.000000,67.000000,22,76,87,0,0,0,0,2026-05-06 16:25:02.948,67.000000
24,12,694,-86.080000,294.090000,0,65408,0,1279.696999999927,1279.696999999927,0.000000,66.000000,23,88,99,0,0,0,0,2026-05-06 16:25:03.012,66.000000
25,12,694,-83.500000,294.090000,0,65409,0,1279.763999999966,1279.763999999966,0.000000,67.000000,24,100,111,0,0,0,0,2026-05-06 16:25:03.081,67.000000
26,12,694,-83.520000,294.090000,0,65408,0,1279.830999999773,1279.830999999773,0.000000,67.000000,25,112,123,0,0,0,0,2026-05-06 16:25:03.145,67.000000
27,12,694,-86.080000,294.090000,0,65408,0,1279.896999999881,1279.896999999881,0.000000,66.000000,26,124,135,0,0,0,0,2026-05-06 16:25:03.215,66.000000
28,12,694,-88.640000,294.090000,0,65408,0,1279.963999999920,1279.963999999920,0.000000,67.000000,27,136,147,0,0,0,0,2026-05-06 16:25:03.279,67.000000
29,12,694,-88.640000,294.090000,0,65408,0,1280.030999999959,1280.030999999959,0.000000,67.000000,28,148,159,0,0,0,0,2026-05-06 16:25:03.347,67.000000
